name,branche,telefon,email,adresse,website,hat_website,website_erreichbar,website_alter_jahre,hat_ssl,ladezeit_ms,ist_mobilfreundlich,wayback_datum,google_place_id,google_rating,google_bewertungen,score,score_gruende,gefunden_am,status
W. Jung & Söhne - 𝗕𝗮𝗱𝘀𝗮𝗻𝗶𝗲𝗿𝘂𝗻𝗴 & 𝗚𝗮𝘀 𝗪𝗮𝘀𝘀𝗲𝗿 𝗜𝗻𝘀𝘁𝗮𝗹𝗹𝗮𝘁𝗲𝘂𝗿,Klempner,0511 737564,,"Klusriede 18, 30851 Langenhagen, Deutschland",http://www.jung-langenhagen.de/,True,True,21,False,8286,False,02.02.2005,ChIJm7fvrh9zsEcRk2GqnYF4Ffs,4.9,75,80,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (8286ms) (+10) | Viele Bewertungen (75) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
W. Jung & Söhne - 𝗕𝗮𝗱𝘀𝗮𝗻𝗶𝗲𝗿𝘂𝗻𝗴 & 𝗚𝗮𝘀 𝗪𝗮𝘀𝘀𝗲𝗿 𝗜𝗻𝘀𝘁𝗮𝗹𝗹𝗮𝘁𝗲𝘂𝗿,Installateur,0511 737564,,"Klusriede 18, 30851 Langenhagen, Deutschland",http://www.jung-langenhagen.de/,True,True,21,False,3847,False,02.02.2005,ChIJm7fvrh9zsEcRk2GqnYF4Ffs,4.9,75,80,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (3847ms) (+10) | Viele Bewertungen (75) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
W. Jung & Söhne - 𝗕𝗮𝗱𝘀𝗮𝗻𝗶𝗲𝗿𝘂𝗻𝗴 & 𝗚𝗮𝘀 𝗪𝗮𝘀𝘀𝗲𝗿 𝗜𝗻𝘀𝘁𝗮𝗹𝗹𝗮𝘁𝗲𝘂𝗿,Heizungsbauer,0511 737564,,"Klusriede 18, 30851 Langenhagen, Deutschland",http://www.jung-langenhagen.de/,True,True,21,False,3747,False,02.02.2005,ChIJm7fvrh9zsEcRk2GqnYF4Ffs,4.9,75,80,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (3747ms) (+10) | Viele Bewertungen (75) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
"Gesundheitstechnik Carl Oettinger GmbH - Badezimmer Sanierung, Klempner, Heizung",Klempner,0511 942990,,"Beekestraße 54, 30459 Hannover, Deutschland",http://www.carloettinger.de/,True,True,22,False,3757,False,14.12.2004,ChIJ3wGN1id1sEcRvtbKYXQljmQ,4,90,75,Website sehr alt (22 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (3757ms) (+10) | Viele Bewertungen (90) (+10) | Telefon bekannt (+5),2026-05-28,neu
Dachdeckerbetrieb Christian Grobe,Dachdecker,05137 9964328,,"Lübecker Str. 43, 30823 Garbsen, Deutschland",http://www.dachdecker-grobe.de/,True,True,13,False,7477,False,07.04.2013,ChIJLeE4tMJwsEcRYLkOHF8PYZQ,4.9,49,75,Website sehr alt (13 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (7477ms) (+10) | Gute Aktivität (49 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Fideler HSE GmbH,Installateur,0171 1718449,,"Rehagen 10b, 30165 Hannover, Deutschland",http://www.fideler-hse.de/,True,True,17,False,2878,False,26.09.2009,ChIJjz7FmiENsEcRZmJKbR0SamA,4.6,24,70,Website sehr alt (17 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Langsam (2878ms) (+5) | Gute Aktivität (24 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Malermeister Peter Bergmann,Maler,0511 89711288,,"Lister Damm 11, 30163 Hannover, Deutschland",http://www.malerbetrieb-bergmann-hannover.de/,True,True,12,False,3900,False,29.12.2014,ChIJt5Sp_09zsEcRvehnq026k2o,4.8,9,70,Website sehr alt (12 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (3900ms) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
BEGRO Elektrotechnik GmbH&Co.KG,Elektriker,0511 9526233,,"Wilhelm-Tell-Straße 2, 30629 Hannover, Deutschland",http://www.begro-elektro.de/,True,True,17,False,2047,False,08.10.2009,ChIJ1dwtTRMMsEcRD6eD0nC8j84,4.5,15,65,Website sehr alt (17 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Langsam (2047ms) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
"Röver u. Strüber, Inh. Thomas Strüber",Fliesenleger,0511 421927,,"Ringstraße 12, 30457 Hannover, Deutschland",http://www.roever-strueber.de/,True,True,18,False,4590,True,05.04.2008,ChIJcXMVeW11sEcRvhTRST4ORIo,4.8,72,65,Website sehr alt (18 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4590ms) (+10) | Viele Bewertungen (72) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Beil Bedachungen GmbH,Dachdecker,05109 52020,,"Zum Alten Garten 1, 30952 Ronnenberg, Deutschland",http://www.beil-bedachungen.de/,True,True,22,False,4474,True,27.11.2004,ChIJmYwJZJt1sEcRC-Hn3Zl16_k,4.6,50,65,Website sehr alt (22 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4474ms) (+10) | Viele Bewertungen (50) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Fleischerei B. Zimmermann,Zimmermann,0511 525560,,"Raabestraße 1, 30177 Hannover, Deutschland",http://www.fleischerei-zimmermann.de/,True,True,20,False,3212,True,12.02.2006,ChIJf_vJm7AMsEcR5h7qX9YjRGg,4.7,87,65,Website sehr alt (20 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3212ms) (+10) | Viele Bewertungen (87) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Kolbe Tischlerei - Benjamin Kolbe,Schreiner,0511 482262,,"Am Bahndamm 6, 30453 Hannover, Deutschland",http://www.kolbe-tischlerei.de/,True,True,8,False,5904,True,27.12.2018,ChIJoWVWUHJ0sEcRds83CFxEgUY,4.9,155,65,Website sehr alt (8 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (5904ms) (+10) | Viele Bewertungen (155) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Fritz Klebe GmbH & Co. KG,Schreiner,0511 463555,,"Am Tönniesberg 4, 30453 Hannover, Deutschland",http://www.klebe-tischlerei.de/,True,True,22,False,2422,False,30.11.2004,ChIJKWgPZuR0sEcRP_IG3AOjzBk,4.8,13,65,Website sehr alt (22 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Langsam (2422ms) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Fairstand GmbH,Schreiner,0511 7280070,,"Fössestraße 97A, 30453 Hannover, Deutschland",http://www.fairstand.de/,True,True,21,False,2425,False,27.01.2005,ChIJc1V5zIx0sEcRHoQWd1ZKWgw,5,9,65,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Langsam (2425ms) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Hakan Özkan Sanitär-Heizung-Lüftung-Klima,Heizungsbauer,05031 9779990,,"Heidorner Str. 40c, 31515 Wunstorf, Deutschland",http://aqua-thermo.de/,True,True,18,False,2037,False,06.10.2008,ChIJL9E1dZJ0sEcRrBbgX56FsEw,4.9,18,65,Website sehr alt (18 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Langsam (2037ms) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Hakan Özkan Sanitär-Heizung-Lüftung-Klima,Sanitär,05031 9779990,,"Heidorner Str. 40c, 31515 Wunstorf, Deutschland",http://aqua-thermo.de/,True,True,18,False,2007,False,06.10.2008,ChIJL9E1dZJ0sEcRrBbgX56FsEw,4.9,18,65,Website sehr alt (18 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Langsam (2007ms) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Elektrotechnik Bechem GmbH,Elektriker,0511 965050,,"Podbielskistraße 362, 30659 Hannover, Deutschland",http://www.e-bechem.de/kontakt.htm,True,True,13,False,731,False,30.05.2013,ChIJqbZKTOwMsEcRXtLdwm2vLYQ,5,1,60,Website sehr alt (13 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Sedat Özgec Sanitär-Heizung,Klempner,0511 620696,,"Jakobistraße 15, 30163 Hannover, Deutschland",https://sanitaer-oezgec.de/,True,True,13,True,1531,False,12.05.2013,ChIJC9gR-lZzsEcRkgWNOdWsoak,4.6,71,60,Website sehr alt (13 Jahre) (+25) | Nicht mobilfreundlich (+15) | Viele Bewertungen (71) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Heymeier GmbH & Co. Haustechnik KG,Klempner,0511 33959895,,"Bronsartstraße 4, 30161 Hannover, Deutschland",http://www.heymeier.de/,True,True,22,False,2352,True,28.11.2004,ChIJe9PVF6Z0sEcRqF5YHXGJd84,5,57,60,Website sehr alt (22 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2352ms) (+5) | Viele Bewertungen (57) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Peter Völkel GmbH Sanitär & Heizung in Hannover,Klempner,0511 660724,,"Edenstraße 36, 30161 Hannover, Deutschland",http://www.voelkel-haustechnik.de/,True,True,21,False,3565,True,29.01.2005,ChIJoeVRelZzsEcRRCefqfCaRfU,4.3,61,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3565ms) (+10) | Viele Bewertungen (61) (+10) | Telefon bekannt (+5),2026-05-28,neu
Andreas Kreth / Sanitär & Heizung,Klempner,0511 231616,,"Pfarrstraße 64, 30459 Hannover, Deutschland",http://www.kreth-hannover.de/,True,True,15,False,3752,True,07.06.2011,ChIJ5_LJKdh0sEcRLREysA_jPsY,5,20,60,Website sehr alt (15 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3752ms) (+10) | Gute Aktivität (20 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
